customer_id,customer_name,total_orders,customer_tier
54,"Vihaan Bhat",2,BRONZE
55,"Vivaan Sharma",4,BRONZE
56,"Aarav Mehta",6,SILVER
57,"Vihaan Gupta",2,BRONZE
58,"Krishna Patel",1,BRONZE
59,"Sai Reddy",4,BRONZE
60,"Muhammad Reddy",4,BRONZE
61,"Muhammad Mehta",2,BRONZE
62,"Sai Sharma",2,BRONZE
64,"Vihaan Reddy",3,BRONZE
65,"Aditya Singh",1,BRONZE
66,"Sai Reddy",2,BRONZE
67,"Krishna Verma",1,BRONZE
68,"Krishna Sharma",6,SILVER
69,"Vihaan Patel",4,BRONZE
70,"Sai Reddy",5,SILVER
71,"Aditya Singh",5,SILVER
72,"Arjun Nair",7,SILVER
73,"Krishna Nair",2,BRONZE
74,"Arjun Reddy",3,BRONZE
75,"Krishna Sharma",4,BRONZE
77,"Krishna Patel",1,BRONZE
78,"Vivaan Patel",2,BRONZE
79,"Vivaan Reddy",2,BRONZE
80,"Ishaan Reddy",4,BRONZE
81,"Aarav Bhat",4,BRONZE
82,"Ishaan Bhat",4,BRONZE
83,"Arjun Reddy",5,SILVER
84,"Arjun Singh",1,BRONZE
85,"Arjun Nair",4,BRONZE
86,"Vivaan Sharma",6,SILVER
87,"Ishaan Verma",5,SILVER
88,"Vihaan Das",2,BRONZE
89,"Reyansh Verma",3,BRONZE
90,"Arjun Patel",4,BRONZE
92,"Krishna Sharma",2,BRONZE
93,"Vivaan Patel",3,BRONZE
94,"Vivaan Das",2,BRONZE
95,"Arjun Bhat",2,BRONZE
96,"Reyansh Reddy",3,BRONZE
97,"Sai Gupta",3,BRONZE
98,"Muhammad Gupta",2,BRONZE
99,"Reyansh Patel",2,BRONZE
101,"Aarav Verma",1,BRONZE
102,"Aditya Das",5,SILVER
103,"Reyansh Bhat",5,SILVER
104,"Muhammad Patel",4,BRONZE
105,"Reyansh Sharma",1,BRONZE
106,"Vihaan Verma",3,BRONZE
107,"Krishna Singh",1,BRONZE
108,"Aditya Reddy",2,BRONZE
109,"Aditya Singh",5,SILVER
110,"Reyansh Singh",1,BRONZE
111,"Aditya Verma",1,BRONZE
112,"Aarav Nair",2,BRONZE
113,"Sai Mehta",4,BRONZE
114,"Vihaan Reddy",3,BRONZE
115,"Vihaan Singh",4,BRONZE
116,"Vivaan Gupta",5,SILVER
117,"Krishna Singh",3,BRONZE
118,"Aarav Verma",3,BRONZE
119,"Ishaan Gupta",4,BRONZE
120,"Ishaan Singh",7,SILVER
121,"Reyansh Singh",2,BRONZE
122,"Vivaan Singh",4,BRONZE
123,"Arjun Sharma",2,BRONZE
124,"Krishna Das",2,BRONZE
125,"Muhammad Verma",1,BRONZE
126,"Reyansh Verma",2,BRONZE
127,"Arjun Singh",2,BRONZE
128,"Arjun Das",5,SILVER
129,"Muhammad Singh",5,SILVER
130,"Ishaan Gupta",4,BRONZE
131,"Aarav Gupta",4,BRONZE
132,"Muhammad Bhat",3,BRONZE
133,"Reyansh Nair",2,BRONZE
134,"Vihaan Das",2,BRONZE
135,"Aditya Verma",7,SILVER
136,"Ishaan Mehta",5,SILVER
137,"Vihaan Gupta",1,BRONZE
138,"Vihaan Patel",7,SILVER
139,"Vihaan Nair",5,SILVER
141,"Ishaan Reddy",4,BRONZE
142,"Muhammad Reddy",6,SILVER
143,"Aarav Verma",1,BRONZE
144,"Aditya Das",2,BRONZE
145,"Krishna Reddy",5,SILVER
146,"Aditya Nair",5,SILVER
147,"Ishaan Mehta",3,BRONZE
148,"Krishna Singh",1,BRONZE
149,"Aditya Nair",3,BRONZE
150,"Vihaan Gupta",6,SILVER
151,"Vihaan Gupta",5,SILVER
152,"Arjun Reddy",2,BRONZE
153,"Reyansh Das",4,BRONZE
154,"Aditya Reddy",8,SILVER
155,"Aditya Reddy",5,SILVER
156,"Muhammad Mehta",3,BRONZE
157,"Muhammad Sharma",5,SILVER
158,"Muhammad Singh",4,BRONZE
159,"Aarav Bhat",2,BRONZE
160,"Aarav Mehta",2,BRONZE
161,"Muhammad Singh",4,BRONZE
162,"Krishna Bhat",5,SILVER
163,"Vihaan Gupta",5,SILVER
164,"Aarav Singh",1,BRONZE
165,"Muhammad Patel",4,BRONZE
166,"Ishaan Das",4,BRONZE
167,"Ishaan Bhat",4,BRONZE
168,"Muhammad Patel",2,BRONZE
169,"Aarav Gupta",2,BRONZE
170,"Vihaan Nair",5,SILVER
171,"Muhammad Gupta",1,BRONZE
172,"Vivaan Nair",2,BRONZE
173,"Krishna Sharma",1,BRONZE
174,"Vivaan Sharma",4,BRONZE
176,"Vihaan Patel",8,SILVER
177,"Vivaan Bhat",1,BRONZE
178,"Arjun Mehta",4,BRONZE
179,"Ishaan Verma",4,BRONZE
180,"Vivaan Bhat",7,SILVER
181,"Ishaan Singh",1,BRONZE
182,"Vihaan Verma",2,BRONZE
183,"Vihaan Verma",1,BRONZE
184,"Ishaan Verma",7,SILVER
185,"Aarav Mehta",3,BRONZE
186,"Reyansh Verma",1,BRONZE
187,"Reyansh Sharma",2,BRONZE
188,"Sai Verma",6,SILVER
189,"Sai Patel",6,SILVER
191,"Krishna Nair",6,SILVER
192,"Ishaan Gupta",4,BRONZE
193,"Vihaan Verma",5,SILVER
194,"Sai Reddy",2,BRONZE
195,"Ishaan Singh",4,BRONZE
196,"Sai Mehta",4,BRONZE
197,"Vihaan Mehta",2,BRONZE
198,"Arjun Bhat",1,BRONZE
199,"Aarav Das",5,SILVER
200,"Vihaan Singh",1,BRONZE
201,"Vihaan Nair",4,BRONZE
202,"Aarav Verma",3,BRONZE
203,"Muhammad Reddy",4,BRONZE
204,"Ishaan Mehta",4,BRONZE
205,"Krishna Mehta",2,BRONZE
206,"Krishna Mehta",2,BRONZE
207,"Sai Gupta",4,BRONZE
208,"Vihaan Verma",2,BRONZE
209,"Vivaan Das",3,BRONZE
210,"Vihaan Nair",2,BRONZE
211,"Ishaan Das",3,BRONZE
212,"Vivaan Reddy",2,BRONZE
213,"Reyansh Patel",6,SILVER
214,"Krishna Patel",3,BRONZE
215,"Aarav Das",3,BRONZE
216,"Aditya Nair",2,BRONZE
217,"Aarav Bhat",3,BRONZE
219,"Aarav Gupta",4,BRONZE
220,"Vivaan Singh",2,BRONZE
221,"Ishaan Sharma",3,BRONZE
222,"Ishaan Gupta",1,BRONZE
223,"Vivaan Das",2,BRONZE
225,"Krishna Singh",4,BRONZE
227,"Ishaan Bhat",2,BRONZE
228,"Vivaan Reddy",3,BRONZE
229,"Vivaan Patel",3,BRONZE
230,"Krishna Verma",1,BRONZE
232,"Arjun Sharma",4,BRONZE
234,"Vihaan Gupta",4,BRONZE
235,"Vihaan Singh",4,BRONZE
236,"Vihaan Patel",4,BRONZE
237,"Aditya Verma",1,BRONZE
238,"Arjun Bhat",4,BRONZE
239,"Sai Verma",2,BRONZE
240,"Arjun Singh",1,BRONZE
241,"Krishna Nair",2,BRONZE
242,"Ishaan Sharma",4,BRONZE
243,"Reyansh Bhat",4,BRONZE
244,"Vivaan Reddy",3,BRONZE
245,"Aarav Gupta",2,BRONZE
246,"Aditya Nair",3,BRONZE
247,"Sai Gupta",3,BRONZE
248,"Muhammad Nair",4,BRONZE
249,"Reyansh Singh",3,BRONZE
250,"Vivaan Patel",5,SILVER
251,"Sai Gupta",2,BRONZE
252,"Krishna Sharma",3,BRONZE
253,"Reyansh Gupta",1,BRONZE
254,"Muhammad Das",1,BRONZE
255,"Krishna Nair",2,BRONZE
256,"Vihaan Das",5,SILVER
257,"Sai Nair",2,BRONZE
258,"Arjun Das",3,BRONZE
259,"Sai Nair",2,BRONZE
260,"Ishaan Reddy",1,BRONZE
262,"Vivaan Reddy",5,SILVER
263,"Vivaan Patel",2,BRONZE
264,"Arjun Das",3,BRONZE
265,"Sai Nair",5,SILVER
266,"Krishna Patel",3,BRONZE
267,"Ishaan Das",2,BRONZE
268,"Vivaan Gupta",5,SILVER
269,"Krishna Gupta",5,SILVER
270,"Arjun Bhat",2,BRONZE
271,"Sai Patel",1,BRONZE
272,"Sai Mehta",5,SILVER
273,"Krishna Singh",2,BRONZE
274,"Vihaan Reddy",4,BRONZE
275,"Vihaan Singh",4,BRONZE
276,"Sai Singh",3,BRONZE
277,"Aditya Nair",4,BRONZE
278,"Krishna Bhat",2,BRONZE
279,"Vivaan Nair",4,BRONZE
280,"Sai Sharma",2,BRONZE
281,"Aditya Verma",4,BRONZE
282,"Arjun Mehta",6,SILVER
283,"Muhammad Verma",1,BRONZE
284,"Krishna Singh",3,BRONZE
285,"Sai Das",4,BRONZE
286,"Vivaan Reddy",2,BRONZE
287,"Vivaan Singh",4,BRONZE
288,"Vivaan Nair",3,BRONZE
289,"Arjun Sharma",6,SILVER
290,"Aarav Gupta",2,BRONZE
291,"Muhammad Patel",4,BRONZE
292,"Muhammad Bhat",2,BRONZE
293,"Aditya Verma",1,BRONZE
294,"Muhammad Bhat",3,BRONZE
295,"Ishaan Patel",3,BRONZE
296,"Arjun Nair",2,BRONZE
297,"Aarav Nair",1,BRONZE
298,"Krishna Patel",2,BRONZE
299,"Reyansh Bhat",2,BRONZE
300,"Muhammad Gupta",3,BRONZE
301,"Arjun Reddy",2,BRONZE
302,"Sai Verma",6,SILVER
303,"Ishaan Mehta",2,BRONZE
304,"Arjun Sharma",4,BRONZE
305,"Aarav Bhat",3,BRONZE
306,"Sai Gupta",6,SILVER
307,"Reyansh Reddy",1,BRONZE
308,"Arjun Patel",3,BRONZE
309,"Aarav Gupta",2,BRONZE
310,"Ishaan Mehta",3,BRONZE
311,"Arjun Mehta",6,SILVER
312,"Vihaan Patel",4,BRONZE
314,"Aditya Gupta",2,BRONZE
315,"Arjun Mehta",4,BRONZE
316,"Vivaan Patel",4,BRONZE
317,"Muhammad Das",3,BRONZE
318,"Muhammad Sharma",4,BRONZE
319,"Vivaan Nair",2,BRONZE
320,"Arjun Bhat",1,BRONZE
321,"Reyansh Verma",5,SILVER
322,"Aarav Bhat",2,BRONZE
323,"Ishaan Reddy",5,SILVER
324,"Sai Gupta",2,BRONZE
325,"Aditya Sharma",5,SILVER
326,"Sai Verma",1,BRONZE
327,"Krishna Patel",3,BRONZE
328,"Reyansh Das",5,SILVER
329,"Aditya Singh",4,BRONZE
330,"Sai Bhat",2,BRONZE
331,"Aarav Mehta",3,BRONZE
332,"Sai Reddy",6,SILVER
333,"Reyansh Das",2,BRONZE
334,"Muhammad Gupta",1,BRONZE
335,"Sai Verma",2,BRONZE
336,"Ishaan Sharma",10,GOLD
337,"Reyansh Reddy",4,BRONZE
338,"Ishaan Reddy",3,BRONZE
339,"Krishna Reddy",2,BRONZE
340,"Vihaan Mehta",2,BRONZE
341,"Ishaan Sharma",3,BRONZE
342,"Aditya Patel",2,BRONZE
343,"Aditya Verma",1,BRONZE
344,"Aarav Mehta",2,BRONZE
345,"Reyansh Sharma",4,BRONZE
346,"Aarav Patel",2,BRONZE
348,"Reyansh Das",2,BRONZE
349,"Sai Das",6,SILVER
350,"Aarav Das",6,SILVER
351,"Aarav Sharma",5,SILVER
352,"Muhammad Singh",7,SILVER
353,"Sai Verma",6,SILVER
355,"Arjun Bhat",2,BRONZE
356,"Reyansh Singh",2,BRONZE
357,"Arjun Nair",3,BRONZE
358,"Muhammad Verma",4,BRONZE
359,"Krishna Reddy",3,BRONZE
360,"Vihaan Singh",4,BRONZE
361,"Sai Singh",6,SILVER
362,"Vivaan Mehta",1,BRONZE
363,"Arjun Mehta",2,BRONZE
364,"Sai Verma",4,BRONZE
365,"Vivaan Verma",3,BRONZE
366,"Reyansh Patel",1,BRONZE
367,"Ishaan Das",1,BRONZE
368,"Vivaan Singh",2,BRONZE
369,"Muhammad Sharma",1,BRONZE
370,"Arjun Mehta",3,BRONZE
371,"Krishna Reddy",3,BRONZE
372,"Sai Reddy",4,BRONZE
373,"Krishna Mehta",4,BRONZE
374,"Arjun Bhat",4,BRONZE
375,"Muhammad Das",2,BRONZE
376,"Krishna Sharma",5,SILVER
377,"Arjun Sharma",2,BRONZE
378,"Arjun Mehta",5,SILVER
379,"Aditya Patel",2,BRONZE
380,"Muhammad Verma",3,BRONZE
382,"Muhammad Singh",3,BRONZE
383,"Aditya Mehta",3,BRONZE
384,"Reyansh Bhat",5,SILVER
385,"Aarav Patel",2,BRONZE
386,"Ishaan Sharma",2,BRONZE
387,"Sai Singh",2,BRONZE
388,"Sai Singh",2,BRONZE
389,"Krishna Verma",6,SILVER
390,"Vivaan Gupta",2,BRONZE
391,"Krishna Gupta",2,BRONZE
392,"Muhammad Bhat",4,BRONZE
393,"Vihaan Gupta",4,BRONZE
394,"Aditya Gupta",2,BRONZE
395,"Vivaan Sharma",2,BRONZE
396,"Muhammad Patel",3,BRONZE
397,"Krishna Reddy",3,BRONZE
398,"Reyansh Verma",2,BRONZE
399,"Aarav Singh",2,BRONZE
400,"Vivaan Mehta",5,SILVER
401,"Ishaan Singh",2,BRONZE
402,"Vivaan Singh",4,BRONZE
403,"Aditya Bhat",5,SILVER
406,"Muhammad Das",4,BRONZE
407,"Arjun Mehta",2,BRONZE
408,"Aditya Verma",3,BRONZE
409,"Vivaan Das",2,BRONZE
410,"Reyansh Mehta",4,BRONZE
411,"Vivaan Patel",4,BRONZE
412,"Aditya Bhat",5,SILVER
413,"Vivaan Patel",2,BRONZE
414,"Ishaan Bhat",1,BRONZE
415,"Ishaan Bhat",1,BRONZE
416,"Reyansh Patel",2,BRONZE
417,"Sai Nair",2,BRONZE
418,"Arjun Bhat",4,BRONZE
419,"Krishna Verma",3,BRONZE
421,"Arjun Verma",2,BRONZE
422,"Ishaan Das",5,SILVER
423,"Ishaan Das",3,BRONZE
424,"Ishaan Reddy",2,BRONZE
425,"Sai Das",4,BRONZE
426,"Sai Verma",5,SILVER
427,"Vivaan Das",2,BRONZE
428,"Vihaan Nair",5,SILVER
429,"Krishna Bhat",4,BRONZE
430,"Reyansh Gupta",5,SILVER
431,"Reyansh Bhat",1,BRONZE
432,"Reyansh Verma",4,BRONZE
433,"Krishna Singh",2,BRONZE
434,"Ishaan Patel",1,BRONZE
435,"Ishaan Patel",5,SILVER
436,"Muhammad Patel",6,SILVER
437,"Vivaan Gupta",1,BRONZE
438,"Reyansh Patel",2,BRONZE
439,"Muhammad Das",6,SILVER
441,"Reyansh Nair",3,BRONZE
442,"Aditya Patel",4,BRONZE
443,"Vivaan Das",4,BRONZE
444,"Krishna Sharma",2,BRONZE
445,"Ishaan Patel",1,BRONZE
448,"Muhammad Mehta",3,BRONZE
449,"Ishaan Gupta",1,BRONZE
450,"Krishna Reddy",3,BRONZE
451,"Sai Reddy",4,BRONZE
452,"Ishaan Nair",6,SILVER
453,"Arjun Singh",4,BRONZE
454,"Muhammad Patel",4,BRONZE
455,"Ishaan Patel",3,BRONZE
456,"Sai Mehta",2,BRONZE
457,"Krishna Verma",1,BRONZE
458,"Aditya Gupta",4,BRONZE
459,"Aditya Singh",5,SILVER
460,"Sai Mehta",5,SILVER
461,"Aarav Singh",2,BRONZE
462,"Vihaan Singh",2,BRONZE
463,"Vihaan Sharma",2,BRONZE
464,"Reyansh Patel",3,BRONZE
468,"Aditya Das",2,BRONZE
469,"Muhammad Verma",3,BRONZE
471,"Muhammad Bhat",3,BRONZE
472,"Vivaan Nair",2,BRONZE
473,"Aarav Das",1,BRONZE
474,"Aditya Gupta",2,BRONZE
475,"Ishaan Mehta",3,BRONZE
476,"Muhammad Patel",2,BRONZE
477,"Reyansh Verma",7,SILVER
478,"Krishna Das",1,BRONZE
479,"Muhammad Nair",3,BRONZE
480,"Muhammad Mehta",1,BRONZE
481,"Aarav Mehta",3,BRONZE
482,"Vihaan Verma",2,BRONZE
483,"Reyansh Patel",3,BRONZE
484,"Krishna Mehta",1,BRONZE
485,"Sai Nair",1,BRONZE
486,"Aditya Verma",6,SILVER
487,"Arjun Reddy",2,BRONZE
488,"Vihaan Sharma",2,BRONZE
489,"Krishna Singh",3,BRONZE
490,"Arjun Sharma",5,SILVER
491,"Reyansh Sharma",2,BRONZE
492,"Vivaan Mehta",2,BRONZE
493,"Muhammad Nair",4,BRONZE
494,"Aditya Nair",5,SILVER
495,"Krishna Gupta",2,BRONZE
496,"Muhammad Verma",7,SILVER
497,"Aditya Das",3,BRONZE
498,"Vivaan Verma",4,BRONZE
499,"Arjun Gupta",3,BRONZE
500,"Muhammad Patel",4,BRONZE
